tree,day,female,male
0,341,1.0,0.0
0,355,2.0,0.0
0,369,1.0,0.0
0,383,1.0,0.0
0,397,2.0,0.0
0,411,1.0,0.0
0,425,1.0,0.0
0,439,2.0,0.0
0,453,2.0,0.0
0,467,1.0,0.0
0,481,1.0,0.0
0,551,3.0,0.0
0,565,1.0,0.0
0,796,4.0,0.0
0,810,1.0,0.0
0,824,2.0,0.0
0,839,2.0,0.0
0,852,1.0,0.0
0,866,2.0,0.0
0,880,1.0,0.0
0,894,0.0,2.0
0,908,0.0,1.0
0,922,0.0,2.0
0,936,0.0,2.0
0,965,0.0,1.0
0,979,0.0,1.0
0,992,0.0,1.0
0,1006,1.0,0.0
0,1032,2.0,0.0
0,1048,1.0,0.0
0,1062,1.0,0.0
0,1076,1.0,0.0
0,1090,1.0,0.0
0,1104,1.0,0.0
0,1118,1.0,0.0
0,1132,1.0,0.0
0,1146,2.0,0.0
0,1160,1.0,0.0
0,1175,1.0,0.0
0,1190,1.0,0.0
0,1204,1.0,1.0
0,1216,0.0,1.0
0,1232,0.0,1.0
0,1244,0.0,1.0
0,1258,0.0,1.0
0,1272,1.0,0.0
0,1301,1.0,0.0
0,1328,1.0,0.0
0,1342,1.0,0.0
0,1371,2.0,0.0
0,1384,1.0,0.0
0,1400,1.0,0.0
0,1410,1.0,0.0
0,1426,2.0,0.0
0,1440,1.0,0.0
0,1454,1.0,0.0
0,1468,2.0,0.0
0,1482,1.0,0.0
0,1496,1.0,0.0
0,1510,1.0,0.0
0,1524,1.0,0.0
0,1538,2.0,0.0
0,1552,1.0,0.0
0,1566,2.0,0.0
0,1580,1.0,0.0
0,1594,1.0,0.0
0,1620,1.0,0.0
0,1636,1.0,0.0
0,1650,1.0,0.0
0,1664,1.0,0.0
0,1678,1.0,0.0
0,1706,1.0,0.0
0,1734,1.0,0.0
0,1748,1.0,0.0
0,1776,1.0,0.0
0,1818,1.0,0.0
0,1833,1.0,0.0
0,1846,2.0,0.0
0,1860,2.0,0.0
0,1874,1.0,0.0
0,1888,2.0,0.0
0,1902,2.0,0.0
0,1916,1.0,0.0
0,1929,2.0,0.0
0,1965,1.0,1.0
0,1979,0.0,2.0
0,2008,1.0,0.0
0,2021,1.0,0.0
0,2049,1.0,0.0
0,2231,1.0,0.0
0,2245,3.0,0.0
0,2257,2.0,0.0
0,2273,1.0,0.0
0,2288,1.0,0.0
0,2302,2.0,0.0
0,2315,1.0,0.0
0,2330,2.0,0.0
0,2344,1.0,0.0
0,2358,0.0,1.0
0,2371,0.0,1.0
0,2397,0.0,2.0
0,2411,0.0,1.0
0,2423,0.0,1.0
0,2441,0.0,1.0
0,2469,1.0,0.0
0,2553,1.0,0.0
0,2567,2.0,0.0
0,2581,1.0,0.0
0,2595,1.0,0.0
0,2609,2.0,0.0
0,2623,2.0,0.0
0,2634,1.0,0.0
0,2653,1.0,0.0
0,2668,2.0,0.0
0,2680,0.0,1.0
0,2693,1.0,0.0
0,2707,0.0,1.0
0,2721,0.0,1.0
0,2736,0.0,1.0
0,2750,0.0,1.0
0,2791,1.0,0.0
0,2819,1.0,0.0
0,2917,1.0,0.0
0,2931,4.0,0.0
0,2946,1.0,0.0
0,2959,1.0,0.0
0,2973,2.0,0.0
0,2987,1.0,0.0
0,2997,0.0,2.0
